order_id,customer_id,product_id,order_date,quantity,unit_price,payment_status
ORD001,CUST001,PROD101,2024-01-15,2,29.99,paid
ORD002,CUST002,PROD102,2024-01-15,1,49.99,paid
ORD003,CUST001,PROD103,2024-01-15,3,9.99,pending
ORD004,CUST003,PROD101,2024-01-15,1,29.99,failed
ORD005,CUST004,PROD104,2024-01-15,5,14.99,paid
ORD006,CUST002,PROD105,2024-01-15,2,99.99,paid
ORD007,CUST005,PROD102,2024-01-15,1,49.99,pending
ORD008,CUST006,PROD103,2024-01-15,4,9.99,paid
ORD009,CUST007,PROD101,2024-01-15,2,29.99,paid
ORD010,CUST008,PROD106,2024-01-15,1,199.99,paid
